alt,src,price,target,store,clothesType,clothesColor
"JEAN SKINNY, H&O, GRIS, 78% ALGODÓN 20% POLIESTER 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/h2b/hd2/11490731098142/16784385-0_product_300Wx450H,"$28,78",mujer,De Prati,jean,gris
"ENTERIZO HALTER LARGO, H&O, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hfc/h58/11490610282526/16740760-0_product_300Wx450H,"$39,98",mujer,De Prati,enterizo,crudo
"JEAN SKINNY, H&O, AZUL CLARO, 78% ALGODÓN 20% POLIESTER 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/h84/hbe/11483243282462/16785814-0_product_300Wx450H,"$28,78",mujer,De Prati,jean,azul claro
"JEAN SKINNY, H&O, AZUL CLARO, 97% ALGODON 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/hce/hab/11483170504734/16784562-0_product_300Wx450H,"$28,78",mujer,De Prati,jean,azul claro
"BUZO UNICOLOR CUT OUT, H&O, ROJO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h8b/hcd/11482808877086/16740782-0_product_300Wx450H,"$23,99",mujer,De Prati,buzo,rojo
"CARDIGAN UNICOLOR, H&O, ROJO, 100% algodón",https://images.deprati.com.ec/sys-master/images/hb1/h5f/11482762444830/16731136-0_product_300Wx450H,"$29,99",mujer,De Prati,cardigan,rojo
"PARKA C CAPUCHA, H&O TRYBU, MORADO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h7a/he7/11473326506014/16755543-0_product_300Wx450H,"$49,99",mujer,De Prati,parka,morado
"JEAN MON, H&O, AZUL CLARO, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/h67/hf1/11462170279966/16784378-0_product_300Wx450H,"$28,78",mujer,De Prati,jean,azul claro
"JEAN SKINNY, H&O, AZUL OSCURO, 81% ALGODÓN 17% POLIESTER 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf3/h5b/11462181814302/16784523-0_product_300Wx450H,"$28,78",mujer,De Prati,jean,azul oscuro
"BLUSA MS CUELLO REDONDO CON VUELOS, EXPRESSIONS, DORADO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hf3/hba/11446880141342/16712479-0_product_300Wx450H,"$29,99",mujer,De Prati,blusa,dorado
"VESTIDO STRAPPLESS C CHOKER, H&O TRYBU, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h7e/h53/11451832270878/16766994-0_product_300Wx450H,"$15,00",mujer,De Prati,vestido,negro
"BLUSA TIRAS ENCARRUJADA, H&O TRYBU, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h22/hef/11451704475678/16755489-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa,blanco
"BLUSA ML SMCRP UNICOLOR, H&O TRYBU, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h77/h0d/11451710177310/16755493-0_product_300Wx450H,"$14,00",mujer,De Prati,blusa,blanco
"JEAN RECTO C PRETINA CRUZADA, H&O TRYBU, AZUL MEDIO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h57/h53/11455619727390/16755597-0_product_300Wx450H,"$31,99",mujer,De Prati,jean,azul medio
"BLUSA SIS CUELLO EN V, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h98/h69/11456031621150/16740391-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa,negro
"CAMISERO MLG CON VUELOS, ISABELLA, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h56/h7e/11456046858270/16740425-0_product_300Wx450H,"$19,99",mujer,De Prati,camisero,crudo
"JEAN SKINNY, H&O, AZUL MEDIO, 98% ALGODÓN  2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hff/h68/11452016721950/16784463-0_product_300Wx450H,"$28,78",mujer,De Prati,jean,azul medio
"JEAN SKINNY, H&O, AZUL CLARO, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/he0/h59/11451971108894/16784549-0_product_300Wx450H,"$31,99",mujer,De Prati,jean,azul claro
"JEAN SKINNY, H&O, AZUL MEDIO, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf4/h66/11452058107934/16785822-0_product_300Wx450H,"$31,99",mujer,De Prati,jean,azul medio
"BLUSA ML MESH EN MANGA, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h9b/h8e/11451965603870/16783414-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa,crudo
