alt,src,price
"JEAN SKINNY, H&O, AZUL OSCURO, 78% ALGODÓN 20% POLIESTER 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/h2b/had/11464184135710/16785818-0_product_300Wx450H,"$35,99"
"CARDIGAN UNICOLOR, H&O, NEGRO, 100% algodón",https://images.deprati.com.ec/sys-master/images/hec/hc2/11463989231646/16731134-0_product_300Wx450H,"$29,99"
"JEAN SKINNY, H&O, AZUL MEDIO, 81% ALGODÓN 17% POLIESTER 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/h95/h6c/11462184697886/16784525-0_product_300Wx450H,"$35,99"
"JEAN MON, H&O, AZUL CLARO, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/h67/hf1/11462170279966/16784378-0_product_300Wx450H,"$35,99"
"FALDA SATIN C APERTURA, H&O TRYBU, LILA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h15/had/11462137053214/16755375-0_product_300Wx450H,"$32,98"
"PANTALON  PALAZZO, H&O, ROJO, 100% VISCOSA",https://images.deprati.com.ec/sys-master/images/h2c/hf6/11462125060126/16745996-0_product_300Wx450H,"$29,99"
"BLUSA MS CUELLO REDONDO CON VUELOS, EXPRESSIONS, DORADO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hf3/hba/11446880141342/16712479-0_product_300Wx450H,"$29,99"
"VESTIDO STRAPPLESS C CHOKER, H&O TRYBU, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h7e/h53/11451832270878/16766994-0_product_300Wx450H,"$29,99"
"BLUSA TIRAS ENCARRUJADA, H&O TRYBU, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h22/hef/11451704475678/16755489-0_product_300Wx450H,"$23,99"
"BLUSA ML SMCRP UNICOLOR, H&O TRYBU, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h77/h0d/11451710177310/16755493-0_product_300Wx450H,"$27,99"
"JEAN RECTO C PRETINA CRUZADA, H&O TRYBU, AZUL MEDIO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h57/h53/11455619727390/16755597-0_product_300Wx450H,"$39,98"
"VESTIDO TIRAS UNICOLOR, H&O TRYBU, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h77/ha5/11455628181534/16755760-0_product_300Wx450H,"$29,99"
"BLUSA SIS CUELLO EN V, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h0c/he2/11456039583774/16740396-0_product_300Wx450H,"$29,99"
"CAMISERO MLG CON VUELOS, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he3/h00/11459415834654/16740430-0_product_300Wx450H,"$39,98"
"VESTIDO CORTO MSIS CUELLO EN V, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hb6/h46/11456094830622/16740569-0_product_300Wx450H,"$35,99"
"BLUSA MC CUELLO REDONDO CON DETALLE EN HOMBROS, EXPRESSIONS, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/ha9/h28/11455936561182/16712300-0_product_300Wx450H,"$35,99"
"JEAN SKINNY, H&O, AZUL MEDIO, 98% ALGODÓN  2% ELASTANO",https://images.deprati.com.ec/sys-master/images/h78/he1/11452013379614/16784461-0_product_300Wx450H,"$35,99"
"JEAN SKINNY, H&O, AZUL CLARO, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/h9f/hee/11451974483998/16784551-0_product_300Wx450H,"$39,98"
"JEAN SKINNY, H&O, AZUL MEDIO, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf4/h66/11452058107934/16785822-0_product_300Wx450H,"$39,98"
"BLUSA ML MESH EN MANGA, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h9b/h8e/11451965603870/16783414-0_product_300Wx450H,"$35,99"
"BLUSA MC SCRP C LAZOS UNICOLOR, H&O TRYBU, BEIGE, 100% rayón",https://images.deprati.com.ec/sys-master/images/h4a/hf1/11451827388446/16766987-0_product_300Wx450H,"$27,99"
"BLUSA SISA C APLIQUES UNICOLOR, H&O TRYBU, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h74/hf0/11451822800926/16766962-0_product_300Wx450H,"$29,99"
"CAMISERO ML PRINT, H&O TRYBU, ROJO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h0d/h92/11451716435998/16755512-0_product_300Wx450H,"$29,99"
"CAMISETA SMCRP ML C APERTURA, H&O TRYBU, BLANCO, 64% POLIESTER 34% ALGODÓN 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc6/hc1/11451698610206/16755475-0_product_300Wx450H,"$27,99"
"SHORT PAPER BAG UNICOLOR, H&O TRYBU, NEGRO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h87/h3f/11451728723998/16755564-0_product_300Wx450H,"$29,99"
"CARDIGAN UNICOLOR, H&O, NEGRO, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/h0b/hb4/11451627929630/16746181-0_product_300Wx450H,"$29,99"
"BLUSA SIS CUELLO REDONDO, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he1/hc6/11451567800350/16740719-0_product_300Wx450H,"$27,99"
"BLUSA MLG CUELLO CUADRADO C AJUSTE NIDO, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h26/h46/11451553546270/16740549-0_product_300Wx450H,"$29,99"
"BLUSA MLG CRUZADA CUELLO EN V, ISABELLA, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hb1/h91/11451501871134/16740362-0_product_300Wx450H,"$35,99"
"BLUSA MLG CUELLO EN V AJUSTE NIDO, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hac/hfc/11451521368094/16740414-0_product_300Wx450H,"$35,99"
"BLUSA ML PRINT, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h08/h5a/11450900152350/16696095-0_product_300Wx450H,"$27,99"
"CAMISETA CORRUGADA ML UNICOLOR, H&O TRYBU, VERDE, 95% POLYESTER 5% SPANDEX",https://images.deprati.com.ec/sys-master/images/h2a/h02/11446344941598/16767886-0_product_300Wx450H,"$29,99"
"BLUSA CUTOUT SMCRP, H&O TRYBU, LILA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/ha6/hef/11446300704798/16755714-0_product_300Wx450H,"$23,99"
"BLUSA CORSET ML, H&O TRYBU, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h84/hc3/11446290907166/16755445-0_product_300Wx450H,"$23,99"
"JEAN JOGGER, H&O, AZUL COMBINADO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h4d/h0c/11447080452126/16749235-0_product_300Wx450H,"$39,98"
"VESTIDO LARGO MLG CUELLO EN V, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hf3/h0f/11447056924702/16740374-0_product_300Wx450H,"$45,99"
"ENTERIZO LARGO MLG CUELLO EN V, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hd2/h65/11447018618910/16740438-0_product_300Wx450H,"$49,99"
"CAMISERO ML PRINT, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he6/h00/11447048306718/16738555-0_product_300Wx450H,"$29,99"
"FALDA LARGA PRINT CON ABERTURA, H&O, BEIGE COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/h97/hb7/11447053156382/16738559-0_product_300Wx450H,"$29,99"
"CARDIGAN UNICOLOR, H&O, CRUDO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h5f/h87/11447005020190/16740788-0_product_300Wx450H,"$23,99"
"BLUSA ASIMETRICA MLG CON LAZO, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h9f/h58/11447031726110/16740485-0_product_300Wx450H,"$35,99"
"CAMISETA MC UNICOLOR, H&O, GRIS, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h8f/h14/11447035133982/16740646-0_product_300Wx450H,"$15,99"
"CAMISETA SISA CON BOTONES, H&O, CRUDO COMBINADO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hd3/ha6/11446998925342/16740729-0_product_300Wx450H,"$15,99"
"BODY, H&O, NEGRO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/he9/h90/11446964977694/16738492-0_product_300Wx450H,"$19,99"
"BLUSA ML CON DETALLE EN DELANTERO, EXPRESSIONS, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h3c/h9c/11446898196510/16713911-0_product_300Wx450H,"$29,99"
"BLUSA MS CON DETALLE EN CUELLO, EXPRESSIONS, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hc1/h70/11446901800990/16714298-0_product_300Wx450H,"$29,99"
"BLUSA MC CUELLO EN V, EXPRESSIONS, ROJO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he5/ha0/11446888529950/16713712-0_product_300Wx450H,"$27,99"
