alt,src,price,target
Camiseta cuello en V,https://koaj.ec/139819-home_default/camiseta-cuello-en-v.jpg,$8.90,mujer
Camiseta manga sisa unicolor,https://koaj.ec/139809-home_default/camiseta-manga-sisa-unicolor.jpg,$12.90,mujer
Camiseta manga sisa unicolor,https://koaj.ec/139803-home_default/camiseta-manga-sisa-unicolor.jpg,$12.90,mujer
Camiseta azul intensa cuello redondo con estampado de Pinky & Cerebro,https://koaj.ec/139099-home_default/camiseta-manga-corta-estampado-de-pinky-cerebro.jpg,$12.90,mujer
Camiseta cuello en V,https://koaj.ec/139060-home_default/camiseta-cuello-en-v.jpg,$8.90,mujer
Camiseta azul verde manga corta con estampado de Chicas Superpoderosas,https://koaj.ec/139056-home_default/camiseta-manga-corta-estampado-de-chicas-superpoderosas.jpg,$12.90,mujer
"Camiseta manga larga, sin estampado y cuello alto.",https://koaj.ec/138953-home_default/camiseta-manga-larga-sin-estampado-y-cuello-alto.jpg,$11.90,mujer
Camiseta naranja claro cuello redondo con diseño de Chicas Superpoderosas,https://koaj.ec/138592-home_default/camiseta-manga-corta-estampado-de-chicas-superpoderosas.jpg,$12.90,mujer
Camiseta cuello en V,https://koaj.ec/138586-home_default/camiseta-cuello-en-v.jpg,$8.90,mujer
"Camiseta manga corta, estampado de Chicas Superpoderosas.",https://koaj.ec/138581-home_default/camiseta-manga-corta-estampado-de-chicas-superpoderosas.jpg,$12.90,mujer
Camiseta oversize unicolor con diseño estampado en frente,https://koaj.ec/138565-home_default/camiseta-manga-corta-oversize-cuello-redondo-con-estampados-en-el-frente-y-variedad-de-colores-verde-crema-claro-negro.jpg,$11.90,mujer
Camiseta oversize unicolor con diseño estampado en frente,https://koaj.ec/138558-home_default/camiseta-manga-corta-oversize-cuello-redondo-con-estampados-en-el-frente-y-variedad-de-colores-verde-crema-claro-negro.jpg,$11.90,mujer
Camiseta con estampado puños en contraste,https://koaj.ec/138995-home_default/camiseta-con-estampado-punos-en-contraste.jpg,$12.90,mujer
"Camiseta manga corta estampado de  Coraje, el Perro Cobarde.",https://koaj.ec/138295-home_default/camiseta-manga-corta-estampado-de-coraje-el-perro-cobarde.jpg,$12.90,mujer
Buzo con capota estampado con estampado en frente,https://koaj.ec/137778-home_default/buzo-con-capota-estampado-con-estampado-en-frente.jpg,$28.90,mujer
"Camiseta, con estampado en frente, de Hora de Aventura.",https://koaj.ec/137687-home_default/camiseta-con-estampado-en-frente-de-hora-de-aventura.jpg,$12.90,mujer
"Camiseta manga corta, estampado de Chicas Superpoderosas.",https://koaj.ec/137659-home_default/camiseta-manga-corta-estampado-de-chicas-superpoderosas.jpg,$12.90,mujer
Camiseta cuello en V,https://koaj.ec/137633-home_default/camiseta-cuello-en-v.jpg,$8.90,mujer
"Camiseta, manga corta, unicolor",https://koaj.ec/137617-home_default/camiseta-manga-corta-unicolor.jpg,$7.90,mujer
BLUSA A RAYAS,https://koaj.ec/137502-home_default/blusa-a-rayas.jpg,$24.90,mujer
BLUSA ESTAMPADA,https://koaj.ec/137491-home_default/blusa-estampada.jpg,$24.90,mujer
Camiseta manga corta con recogido en puños y hombros.,https://koaj.ec/136715-home_default/camiseta-manga-corta-con-recogido-en-punos-y-hombros.jpg,$11.90,mujer
Buzo con capota unicolor,https://koaj.ec/135720-home_default/buzo-con-capota-unicolor.jpg,$28.90,mujer
Buzo con capota unicolor,https://koaj.ec/135617-home_default/buzo-con-capota-unicolor.jpg,$28.90,mujer
Chaleco largo,https://koaj.ec/140315-home_default/chaleco-largo.jpg,$39.90,mujer
"Camiseta manga corta, estampada de Garfield.",https://koaj.ec/138453-home_default/camiseta-manga-corta-estampada-de-garfield.jpg,$12.90,mujer
"Camiseta manga corta, estampado de Chicas Superpoderosas.",https://koaj.ec/135025-home_default/camiseta-manga-corta-estampado-de-chicas-superpoderosas.jpg,$12.90,mujer
Camiseta manga corta crema claro con diseño estampado en frente,https://koaj.ec/135016-home_default/camiseta-manga-corta-crema-claro-con-diseno-estampado-en-frente.jpg,$11.90,mujer
Camiseta femenina unicolor con perlas sobre frente y mangas.,https://koaj.ec/135011-home_default/camiseta-femenina-unicolor-con-perlas-sobre-frente-y-mangas.jpg,$11.90,mujer
Camiseta manga corta estampado de Bob Esponja,https://koaj.ec/134978-home_default/camiseta-manga-corta-estampado-de-bob-esponja.jpg,$12.90,mujer
