alt,src,price,target
Vestido Dama Juvenil GZ Fashion Tiras Rosa - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/4045936700220220411174410.jpg,$32.39,mujer
Traje de Baño Entero Actitude Deportivo Azul Rey - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40413889004_01.jpg,$20.70,mujer
Traje de Baño Deportivo Nery Fas Entero Azul - Tallas S a XL - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40413721004_01.jpg,$19.99,mujer
Body Dama Juvenil Happy Land Azul - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40459368001_0120220412160951.jpg,$23.99,mujer
Brasilera Dama Laura Blanco - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460000001_0120220504160710.jpg,$9.99,mujer
Top Dama Juvenil Manga Corta Franchis Crudo - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460005001_0120220421142014.jpg,$21.99,mujer
Cachetero Dama Estampado Laura Gris - Varias Tallas   - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460023001_0120220504160712.jpg,$11.98,mujer
Cachetero Estampado Laura Rosa - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460026004_0120220707150605.jpg,$11.98,mujer
Brasilera Dama Estampada Laura Rosa - Varias Tallas  - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460028001_0120220812121226.jpg,$11.98,mujer
Panty Dama Estampado Laura Rosa - Varias Tallas   - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460035002_0220220707151742.jpg,$12.99,mujer
Camiseta Dama Manga Corta Estampado Crudo Minnie Mouse de Disney - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460073001_0120220422090323.jpg,$12.25,mujer
Pijama Dama Blusa Manga Gap Pantalón Get In Rosado/Beige - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460603001_0120220421142345.jpg,$23.25,mujer
Cachetero con Encaje Puntos Nery Fas Melón - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460696001_0120220504170732.jpg,$6.99,mujer
Brassier Dama Copa Líneas Nery Fas Verde - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460697003_0120220707152304.jpg,$21.25,mujer
Tanga Damas Líneas Nery Fas Verde - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460698001_0120220504170734.jpg,$6.99,mujer
Brassier Dama Nery Fas Copa de Bocado Verde - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460699001_0120220504170735.jpg,$21.25,mujer
Panty Dama Nery Fas Puntos y Líneas Verde - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460700002_0320220711103800.jpg,$6.99,mujer
Panty Dama Nery Fas Cintura Alta Beige - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40460702002_0320220711103911.jpg,$8.65,mujer
Panty Dama Nery Fas Blanco - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40463847001_0120220616122823.jpg,$6.87,mujer
Panty Dama Nery Fas Negro - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40463848001_0120220616122824.jpg,$6.87,mujer
Panty Dama Nery Fas Piel - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40463849001_0120220616122825.jpg,$6.87,mujer
Panty Dama Skin Básico Blanco - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40464033001_0120220616122826.jpg,$4.79,mujer
Panty Dama Skin Básico Negro - Varias Tallas - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40464034001_0120220617183658.jpg,$4.79,mujer
Panty Dama Skin Básico Piel - Varias Tallas   - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40464035001_0120220616122827.jpg,$4.79,mujer
Panty Dama Skin Básico Coral - Varias Tallas   - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40464036001_0120220616122829.jpg,$4.79,mujer
Panty Dama Skin Básico Perla - Varias Tallas  - foto 1,https://d2o812a6k13pkp.cloudfront.net/fit-in/190x190/Productos/40464037001_0120220922102704.jpg,$4.79,mujer
